id,n_lines_gt,n_lines_pred,n_line_cmds_gt,n_line_cmds_pred,gt_h,gt_v,pred_h,pred_v,ratio_h_sample,ratio_v_sample,par_recall_hits,par_recall_denom,par_recall_index_aligned,perp_recall_hits,perp_recall_denom,perp_recall_index_aligned,pair_recall_extrude_count_mismatch,pair_recall_extrudes_skipped_line_mismatch,parse_ok_gt,parse_ok_pred
00322055,7,7,7,7,3,3,3,3,1.0,1.0,6,6,1.0,9,9,1.0,False,0,True,True
00322057,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00322062,16,16,16,16,6,10,6,10,1.0,1.0,20,20,1.0,20,20,1.0,False,0,True,True
00322068,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00322069,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00322078,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00322079,5,5,5,5,1,4,1,4,1.0,1.0,2,2,1.0,2,2,1.0,False,0,True,True
00322080,6,6,6,6,3,2,3,2,1.0,1.0,1,1,1.0,3,3,1.0,False,0,True,True
00322081,8,8,8,8,4,4,4,4,1.0,1.0,12,12,1.0,16,16,1.0,False,0,True,True
00322082,16,13,16,13,12,4,11,2,0.9166666666666666,0.5,6,6,1.0,0,0,,False,2,True,True
00322083,6,6,6,6,4,2,4,2,1.0,1.0,3,3,1.0,4,4,1.0,False,0,True,True
00322086,6,6,6,6,3,3,2,3,0.6666666666666666,1.0,4,6,0.6666666666666666,9,9,1.0,False,0,True,True
00322089,14,14,14,14,4,10,4,10,1.0,1.0,7,7,1.0,4,4,1.0,False,0,True,True
00322091,8,8,8,8,4,4,4,4,1.0,1.0,12,12,1.0,16,16,1.0,False,0,True,True
00322092,10,10,10,10,8,2,8,2,1.0,1.0,5,5,1.0,0,0,,False,0,True,True
00322096,4,4,4,4,1,3,1,3,1.0,1.0,3,3,1.0,3,3,1.0,False,0,True,True
00322097,4,4,4,4,1,3,1,3,1.0,1.0,3,3,1.0,3,3,1.0,False,0,True,True
00322104,12,11,12,11,8,4,7,4,0.875,1.0,4,4,1.0,6,6,1.0,False,1,True,True
00322110,22,22,22,22,10,10,10,10,1.0,1.0,32,32,1.0,41,42,0.9761904761904762,False,0,True,True
00322118,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00322128,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00322130,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00322132,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00322137,11,11,11,11,5,6,5,6,1.0,1.0,11,11,1.0,16,16,1.0,False,0,True,True
00322144,6,6,6,6,2,0,2,0,1.0,,3,3,1.0,0,0,,False,0,True,True
00322145,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00322147,13,13,13,13,5,7,5,6,1.0,0.8571428571428571,4,6,0.6666666666666666,11,11,1.0,False,0,True,True
00322148,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00322149,8,8,8,8,4,4,4,4,1.0,1.0,12,12,1.0,16,16,1.0,False,0,True,True
00322166,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00322175,3,3,3,3,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00322178,24,24,24,24,12,12,12,12,1.0,1.0,12,12,1.0,24,24,1.0,False,0,True,True
00322186,13,13,13,13,7,6,4,6,0.5714285714285714,1.0,16,36,0.4444444444444444,27,42,0.6428571428571429,False,0,True,True
00322193,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00322196,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00322207,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00322220,6,6,6,6,2,0,2,0,1.0,,3,3,1.0,0,0,,False,0,True,True
00322253,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00322254,24,24,24,24,12,12,12,12,1.0,1.0,20,20,1.0,32,32,1.0,False,0,True,True
00322257,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00322258,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00322269,7,11,7,4,6,0,2,0,0.3333333333333333,,1,6,0.16666666666666666,0,0,,False,2,True,True
00322274,8,8,8,8,7,0,7,0,1.0,,11,11,1.0,0,0,,False,0,True,True
00322275,5,5,5,5,2,3,2,3,1.0,1.0,4,4,1.0,6,6,1.0,False,0,True,True
