id,n_lines_gt,n_lines_pred,n_line_cmds_gt,n_line_cmds_pred,gt_h,gt_v,pred_h,pred_v,ratio_h_sample,ratio_v_sample,par_recall_hits,par_recall_denom,par_recall_index_aligned,perp_recall_hits,perp_recall_denom,perp_recall_index_aligned,pair_recall_extrude_count_mismatch,pair_recall_extrudes_skipped_line_mismatch,parse_ok_gt,parse_ok_pred
00591605,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00591900,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00592053,4,3,4,3,3,0,2,0,0.6666666666666666,,0,0,,0,0,,False,1,True,True
00592151,9,11,9,11,3,4,5,4,1.6666666666666667,1.0,2,2,1.0,4,4,1.0,False,1,True,True
00592226,20,20,20,20,10,10,10,9,1.0,0.9,9,10,0.9,18,20,0.9,False,0,True,True
00592318,8,8,8,8,4,4,4,4,1.0,1.0,12,12,1.0,16,16,1.0,False,0,True,True
00592578,8,8,8,8,4,4,4,4,1.0,1.0,12,12,1.0,16,16,1.0,False,0,True,True
00592892,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00593079,16,16,16,16,8,6,8,6,1.0,1.0,7,7,1.0,13,13,1.0,False,0,True,True
00593115,3,3,3,3,2,1,2,1,1.0,1.0,1,1,1.0,2,2,1.0,False,0,True,True
00593145,8,8,8,8,4,4,4,4,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
